# keith - ch4, keys - ch3
Keithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	b	
249.787258	249.763474	0.0	0.0	0.0	0.0	2.0	0.0	0.0	19-12-23 19:01:42.251241
237.594089	237.59141	1613.4	1613.4	1613.4	1613.4	2.0	1613.4	0.0	19-12-23 19:01:45.528054
225.293337	225.29163	3226.8	3226.8	3226.8	3226.8	2.0	3226.8	0.0	19-12-23 19:01:48.804818
212.982735	212.981394	4840.2	4840.2	4840.2	4840.2	2.0	4840.2	0.0	19-12-23 19:01:52.081710
200.682946	200.681367	6453.6	6453.6	6453.6	6453.6	2.0	6453.6	0.0	19-12-23 19:01:55.358657
188.373884	188.372887	8067.0	8067.0	8067.0	8067.0	2.0	8067.0	0.0	19-12-23 19:01:58.635490
176.07278	176.071942	9680.4	9680.4	9680.4	9680.4	2.0	9680.4	0.0	19-12-23 19:02:01.912268
163.774619	163.774155	11293.8	11293.8	11293.8	11293.8	2.0	11293.8	0.0	19-12-23 19:02:05.189046
151.463068	151.462869	12907.2	12907.2	12907.2	12907.2	2.0	12907.2	0.0	19-12-23 19:02:08.465885
139.160772	139.160873	14520.6	14520.6	14520.6	14520.6	2.0	14520.6	0.0	19-12-23 19:02:11.640478
126.85273	126.852974	16134.0	16134.0	16134.0	16134.0	2.0	16134.0	0.0	19-12-23 19:02:14.917083
114.550232	114.550458	17747.4	17747.4	17747.4	17747.4	2.0	17747.4	0.0	19-12-23 19:02:18.090438
102.249681	102.25092	19360.8	19360.8	19360.8	19360.8	2.0	19360.8	0.0	19-12-23 19:02:21.368183
89.9402699	89.9414631	20974.2	20974.2	20974.2	20974.2	2.0	20974.2	0.0	19-12-23 19:02:24.645251
77.6418338	77.6447045	22587.6	22587.6	22587.6	22587.6	2.0	22587.6	0.0	19-12-23 19:02:27.921875
65.335303	65.337936	24201.0	24201.0	24201.0	24201.0	2.0	24201.0	0.0	19-12-23 19:02:31.198836
53.0336934	53.0359768	25814.4	25814.4	25814.4	25814.4	2.0	25814.4	0.0	19-12-23 19:02:34.475495
40.7367394	40.7388976	27427.8	27427.8	27427.8	27427.8	2.0	27427.8	0.0	19-12-23 19:02:37.751266
28.4283285	28.4313889	29041.2	29041.2	29041.2	29041.2	2.0	29041.2	0.0	19-12-23 19:02:41.029460
16.12959	16.1331087	30654.6	30654.6	30654.6	30654.6	2.0	30654.6	0.0	19-12-23 19:02:44.306366
3.82497316	3.82845064	32268.0	32268.0	32268.0	32268.0	2.0	32268.0	0.0	19-12-23 19:02:47.479558
-8.47607323	-8.47216172	33881.4	33881.4	33881.4	33881.4	2.0	33881.4	0.0	19-12-23 19:02:50.757566
-20.776184	-20.7710969	35494.8	35494.8	35494.8	35494.8	2.0	35494.8	0.0	19-12-23 19:02:54.034273
-33.0840296	-33.0786775	37108.2	37108.2	37108.2	37108.2	2.0	37108.2	0.0	19-12-23 19:02:57.208929
-45.3811237	-45.3762847	38721.6	38721.6	38721.6	38721.6	2.0	38721.6	0.0	19-12-23 19:03:00.485513
-57.6877835	-57.6839441	40335.0	40335.0	40335.0	40335.0	2.0	40335.0	0.0	19-12-23 19:03:03.762402
-69.9897216	-69.9859225	41948.4	41948.4	41948.4	41948.4	2.0	41948.4	0.0	19-12-23 19:03:07.039011
-82.2863657	-82.2844184	43561.8	43561.8	43561.8	43561.8	2.0	43561.8	0.0	19-12-23 19:03:10.294157
-94.5960386	-94.5934748	45175.2	45175.2	45175.2	45175.2	2.0	45175.2	0.0	19-12-23 19:03:13.592957
-106.89735	-106.893837	46788.6	46788.6	46788.6	46788.6	2.0	46788.6	0.0	19-12-23 19:03:16.767273
-119.203371	-119.199831	48402.0	48402.0	48402.0	48402.0	2.0	48402.0	0.0	19-12-23 19:03:20.044242
-131.505523	-131.502351	50015.4	50015.4	50015.4	50015.4	2.0	50015.4	0.0	19-12-23 19:03:23.163126
-143.806867	-143.803607	51628.8	51628.8	51628.8	51628.8	2.0	51628.8	0.0	19-12-23 19:03:26.281131
-156.116709	-156.114354	53242.2	53242.2	53242.2	53242.2	2.0	53242.2	0.0	19-12-23 19:03:29.466320
-168.416023	-168.411431	54855.6	54855.6	54855.6	54855.6	2.0	54855.6	0.0	19-12-23 19:03:32.581648
-180.724759	-180.718665	56469.0	56469.0	56469.0	56469.0	2.0	56469.0	0.0	19-12-23 19:03:35.813929
-193.027252	-193.021806	58082.4	58082.4	58082.4	58082.4	2.0	58082.4	0.0	19-12-23 19:03:39.090785
-205.325796	-205.320486	59695.8	59695.8	59695.8	59695.8	2.0	59695.8	0.0	19-12-23 19:03:42.264060
-217.635219	-217.628658	61309.2	61309.2	61309.2	61309.2	2.0	61309.2	0.0	19-12-23 19:03:45.542083
-229.937294	-229.930148	62922.6	62922.6	62922.6	62922.6	2.0	62922.6	0.0	19-12-23 19:03:48.819024
-242.241573	-242.233539	64536.0	64536.0	64536.0	64536.0	2.0	64536.0	0.0	19-12-23 19:03:52.095584
