# 
Keithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	b	
41.2430101	29.1350284	30000.0	27379.0	30000.0	27379.0	0.1	30000.0	-2621.0	19-12-23 18:24:48.959637
37.1712698	25.1050325	30000.0	27903.2	30000.0	27903.2	0.1	30000.0	-2096.8	19-12-23 18:24:50.190415
33.0944502	21.1295054	30000.0	28427.4	30000.0	28427.4	0.1	30000.0	-1572.6	19-12-23 18:24:51.401409
29.0955889	21.1294523	30000.0	28951.6	30000.0	28951.6	0.1	30000.0	-1048.4	19-12-23 18:24:52.646016
25.0995836	21.1294937	30000.0	29475.8	30000.0	29475.8	0.1	30000.0	-524.1999999999998	19-12-23 18:24:53.977187
21.096335	21.1296266	30000.0	30000.0	30000.0	30000.0	0.1	30000.0	0.0	19-12-23 18:24:55.308357
17.1005667	21.1294916	30000.0	30524.2	30000.0	30524.2	0.1	30000.0	524.1999999999998	19-12-23 18:24:56.640046
13.1043385	21.1296282	30000.0	31048.4	30000.0	31048.4	0.1	30000.0	1048.3999999999996	19-12-23 18:24:57.970856
9.27349287	21.1372256	30000.0	31572.6	30000.0	31572.6	0.1	30000.0	1572.6000000000004	19-12-23 18:24:59.302572
9.35511506	21.2211156	30000.0	32096.8	30000.0	32096.8	0.1	30000.0	2096.8	19-12-23 18:25:00.633553
9.43057816	21.2960879	30000.0	32621.0	30000.0	32621.0	0.1	30000.0	2621.0	19-12-23 18:25:01.964658
