# 
A1	f1	A2	f2	base_freq	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
0.01	0	10.67	3000000.0	3000000.0	6.800000000000011	0.004786300923226397	0.004786300923226397	6.800000000000011	0.4891983709716538	-32.77970698579666	0.0005272654343015681	1716201858	0.1	3000000.0	20-05-24 12:44:18.703149
0.01	0	10.67	3435897.435897436	3435897.435897436	6.400000000000006	0.004365158322401665	0.004365158322401665	6.400000000000006	0.4671808173716931	-32.05736972778499	0.0006226772908603317	1716201865	0.1	3435897.435897436	20-05-24 12:44:25.684522
0.01	0	10.67	3871794.871794872	3871794.871794872	6.400000000000006	0.004365158322401665	0.004365158322401665	6.400000000000006	0.4671808173716931	-32.23920034211339	0.0005971452276380435	1716201872	0.1	3871794.871794872	20-05-24 12:44:32.665572
0.01	0	10.67	4307692.307692308	4307692.307692308	6.000000000000014	0.0039810717055349856	0.0039810717055349856	6.000000000000014	0.44615421692140184	-31.74777973289344	0.000668685685989389	1716201879	0.1	4307692.307692308	20-05-24 12:44:39.647335
0.01	0	10.67	4743589.743589744	4743589.743589744	6.000000000000014	0.0039810717055349856	0.0039810717055349856	6.000000000000014	0.44615421692140184	-31.75568945162249	0.0006674689304567257	1716201886	0.1	4743589.743589744	20-05-24 12:44:46.628741
0.01	0	10.67	5179487.17948718	5179487.17948718	5.6000000000000085	0.00363078054770102	0.00363078054770102	5.6000000000000085	0.42607396938213793	-22.597505282723848	0.00549856637239749	1716201893	0.1	5179487.17948718	20-05-24 12:44:53.614018
0.01	0	10.67	5615384.615384616	5615384.615384616	4.800000000000011	0.003019951720402024	0.003019951720402024	4.800000000000011	0.3885840784439079	-17.1526668712464	0.01926341641700277	1716201900	0.1	5615384.615384616	20-05-24 12:45:00.597138
0.01	0	10.67	6051282.051282052	6051282.051282052	4.800000000000011	0.003019951720402024	0.003019951720402024	4.800000000000011	0.3885840784439079	0.06917032535291422	1.0160545676220967	1716201907	0.1	6051282.051282052	20-05-24 12:45:07.578063
0.01	0	10.67	6487179.487179487	6487179.487179487	4.800000000000011	0.003019951720402024	0.003019951720402024	4.800000000000011	0.3885840784439079	-18.845567927511887	0.013044973681789779	1716201914	0.1	6487179.487179487	20-05-24 12:45:14.557660
0.01	0	10.67	6923076.923076924	6923076.923076924	4.400000000000005	0.00275422870333817	0.00275422870333817	4.400000000000006	0.3710949139599039	-19.811147493747278	0.010444442194998252	1716201921	0.1	6923076.923076924	20-05-24 12:45:21.540102
0.01	0	10.67	7358974.358974359	7358974.358974359	4.000000000000013	0.002511886431509588	0.002511886431509588	4.000000000000014	0.35439289154197123	-20.48972426307894	0.00893362202188979	1716201928	0.1	7358974.358974359	20-05-24 12:45:28.521784
0.01	0	10.67	7794871.794871795	7794871.794871795	4.000000000000013	0.002511886431509588	0.002511886431509588	4.000000000000014	0.35439289154197123	-19.916192795854514	0.010194847186890675	1716201935	0.1	7794871.794871795	20-05-24 12:45:35.503595
0.01	0	10.67	8230769.230769231	8230769.230769231	4.400000000000005	0.00275422870333817	0.00275422870333817	4.400000000000006	0.3710949139599039	-23.682780445553963	0.004282742423373815	1716201942	0.1	8230769.230769231	20-05-24 12:45:42.484805
0.01	0	10.67	8666666.666666666	8666666.666666666	4.400000000000005	0.00275422870333817	0.00275422870333817	4.400000000000006	0.3710949139599039	-26.71443501858945	0.0021308677578862163	1716201949	0.1	8666666.666666666	20-05-24 12:45:49.465671
0.01	0	10.67	9102564.102564104	9102564.102564104	4.000000000000013	0.002511886431509588	0.002511886431509588	4.000000000000014	0.35439289154197123	-26.16979121759472	0.002415576957920153	1716201956	0.1	9102564.102564104	20-05-24 12:45:56.447475
0.01	0	10.67	9538461.53846154	9538461.53846154	3.6000000000000085	0.0022908676527677776	0.0022908676527677776	3.6000000000000085	0.3384425839612812	-26.01849386775319	0.002501212631258432	1716201963	0.1	9538461.53846154	20-05-24 12:46:03.428347
0.01	0	10.67	9974358.974358974	9974358.974358974	3.200000000000003	0.002089296130854041	0.002089296130854041	3.200000000000003	0.3232101584769607	-25.594048133773043	0.002758005872867288	1716201970	0.1	9974358.974358974	20-05-24 12:46:10.410462
0.01	0	10.67	10410256.41025641	10410256.41025641	2.800000000000011	0.001905460717963252	0.001905460717963252	2.8000000000000114	0.3086633050723111	-25.30992571158597	0.002944472000150015	1716201977	0.1	10410256.41025641	20-05-24 12:46:17.392018
0.01	0	10.67	10846153.846153848	10846153.846153848	2.000000000000014	0.0015848931924611186	0.0015848931924611186	2.000000000000014	0.2815042799373678	-25.110624817055957	0.0030827444056205707	1716201984	0.1	10846153.846153848	20-05-24 12:46:24.372829
0.01	0	10.67	11282051.282051282	11282051.282051282	1.2000000000000028	0.001318256738556408	0.001318256738556408	1.2000000000000028	0.2567349546279594	-24.471904742205023	0.0035711617867937597	1716201991	0.1	11282051.282051282	20-05-24 12:46:31.354759
