# 
A1	f1	A2	f2	base_freq	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
0.01	0	0.01	3000000.0	3000000.0	-52.39999999999999	5.7543993733715784e-09	5.7543993733715784e-09	-52.39999999999999	0.0005363953473591832	-5.582417683934713	0.2765401738973178	1716201259	0.1	3000000.0	20-05-24 12:34:19.128572
0.01	0	0.01	3435897.435897436	3435897.435897436	-52.39999999999999	5.7543993733715784e-09	5.7543993733715784e-09	-52.39999999999999	0.0005363953473591832	-5.451546747827277	0.2850003052872503	1716201266	0.1	3435897.435897436	20-05-24 12:34:26.109757
0.01	0	0.01	3871794.871794872	3871794.871794872	-52.39999999999999	5.7543993733715784e-09	5.7543993733715784e-09	-52.39999999999999	0.0005363953473591832	-5.252402683858337	0.29837314473917825	1716201273	0.1	3871794.871794872	20-05-24 12:34:33.091225
0.01	0	0.01	4307692.307692308	4307692.307692308	-52.0	6.30957344480193e-09	6.30957344480193e-09	-52.0	0.0005616748812614789	-6.033526696851731	0.2492569808686651	1716201280	0.1	4307692.307692308	20-05-24 12:34:40.072387
0.01	0	0.01	4743589.743589744	4743589.743589744	-51.19999999999999	7.585775750291852e-09	7.585775750291852e-09	-51.19999999999999	0.0006158642606245248	-6.529123839630241	0.22237584739528055	1716201287	0.1	4743589.743589744	20-05-24 12:34:47.053833
0.01	0	0.01	5179487.17948718	5179487.17948718	-50.8	8.317637711026709e-09	8.317637711026709e-09	-50.8	0.0006448890490241988	-7.69607765561672	0.1699778119426055	1716201294	0.1	5179487.17948718	20-05-24 12:34:54.035240
0.01	0	0.01	5615384.615384616	5615384.615384616	-51.599999999999994	6.9183097091893775e-09	6.9183097091893775e-09	-51.599999999999994	0.0005881458028919945	-6.620636488446456	0.21773906373877722	1716201301	0.1	5615384.615384616	20-05-24 12:35:01.015973
0.01	0	0.01	6051282.051282052	6051282.051282052	-51.599999999999994	6.9183097091893775e-09	6.9183097091893775e-09	-51.599999999999994	0.0005881458028919945	-6.27764351743549	0.23563274807636866	1716201307	0.1	6051282.051282052	20-05-24 12:35:07.998457
0.01	0	0.01	6487179.487179487	6487179.487179487	-51.19999999999999	7.585775750291852e-09	7.585775750291852e-09	-51.19999999999999	0.0006158642606245248	-7.19991124619898	0.19054996589621626	1716201314	0.1	6487179.487179487	20-05-24 12:35:14.979924
0.01	0	0.01	6923076.923076924	6923076.923076924	-50.8	8.317637711026709e-09	8.317637711026709e-09	-50.8	0.0006448890490241988	-7.730482560791156	0.16863656366048416	1716201321	0.1	6923076.923076924	20-05-24 12:35:21.961771
0.01	0	0.01	7358974.358974359	7358974.358974359	-50.39999999999999	9.120108393559115e-09	9.120108393559115e-09	-50.39999999999999	0.0006752817335586353	-7.712146209034766	0.1693500694550144	1716201328	0.1	7358974.358974359	20-05-24 12:35:28.943500
0.01	0	0.01	7794871.794871795	7794871.794871795	-50.8	8.317637711026709e-09	8.317637711026709e-09	-50.8	0.0006448890490241988	-7.333544908528637	0.1847759777936654	1716201335	0.1	7794871.794871795	20-05-24 12:35:35.924362
0.01	0	0.01	8230769.230769231	8230769.230769231	-50.39999999999999	9.120108393559115e-09	9.120108393559115e-09	-50.39999999999999	0.0006752817335586353	-8.502641033814383	0.1411678812704692	1716201342	0.1	8230769.230769231	20-05-24 12:35:42.905961
0.01	0	0.01	8666666.666666666	8666666.666666666	-50.39999999999999	9.120108393559115e-09	9.120108393559115e-09	-50.39999999999999	0.0006752817335586353	-8.113245399163807	0.15441001319551684	1716201349	0.1	8666666.666666666	20-05-24 12:35:49.887206
0.01	0	0.01	9102564.102564104	9102564.102564104	-50.0	1e-08	1e-08	-50.0	0.0007071067811865475	-8.35808510337397	0.14594576242976803	1716201356	0.1	9102564.102564104	20-05-24 12:35:56.869378
0.01	0	0.01	9538461.53846154	9538461.53846154	-50.0	1e-08	1e-08	-50.0	0.0007071067811865475	0.5871065330079471	1.1447500029022661	1716201363	0.1	9538461.53846154	20-05-24 12:36:03.850282
0.01	0	0.01	9974358.974358974	9974358.974358974	-50.39999999999999	9.120108393559115e-09	9.120108393559115e-09	-50.39999999999999	0.0006752817335586353	-8.046580038064375	0.15679853338476696	1716201370	0.1	9974358.974358974	20-05-24 12:36:10.832412
0.01	0	0.01	10410256.41025641	10410256.41025641	-50.8	8.317637711026709e-09	8.317637711026709e-09	-50.8	0.0006448890490241988	-7.513630784295779	0.17727068446532243	1716201377	0.1	10410256.41025641	20-05-24 12:36:17.813731
0.01	0	0.01	10846153.846153848	10846153.846153848	-51.19999999999999	7.585775750291852e-09	7.585775750291852e-09	-51.19999999999999	0.0006158642606245248	-7.033000087428707	0.19801586682194341	1716201384	0.1	10846153.846153848	20-05-24 12:36:24.794945
0.01	0	0.01	11282051.282051282	11282051.282051282	-51.599999999999994	6.9183097091893775e-09	6.9183097091893775e-09	-51.599999999999994	0.0005881458028919945	-6.739639742555826	0.21185368655545178	1716201391	0.1	11282051.282051282	20-05-24 12:36:31.777056
0.01	0	0.01	11717948.717948718	11717948.717948718	-52.39999999999999	5.7543993733715784e-09	5.7543993733715784e-09	-52.39999999999999	0.0005363953473591832	-5.816165497037749	0.26204956933360507	1716201398	0.1	11717948.717948718	20-05-24 12:36:38.758614
0.01	0	0.01	12153846.153846154	12153846.153846154	-53.599999999999994	4.365158322401665e-09	4.365158322401665e-09	-53.599999999999994	0.0004671808173716931	-4.574754596796014	0.3487582905757687	1716201405	0.1	12153846.153846154	20-05-24 12:36:45.739117
0.01	0	0.01	12589743.58974359	12589743.58974359	-54.39999999999999	3.6307805477010177e-09	3.6307805477010177e-09	-54.39999999999999	0.0004260739693821378	-3.5398992744102897	0.44259863740020744	1716201412	0.1	12589743.58974359	20-05-24 12:36:52.720493
0.01	0	0.01	13025641.025641026	13025641.025641026	-55.599999999999994	2.7542287033381687e-09	2.7542287033381687e-09	-55.599999999999994	0.00037109491395990383	-2.2064831689675923	0.6016607532766007	1716201419	0.1	13025641.025641026	20-05-24 12:36:59.701479
0.01	0	0.01	13461538.461538462	13461538.461538462	-56.39999999999999	2.2908676527677795e-09	2.2908676527677795e-09	-56.39999999999999	0.00033844258396128135	-1.3465394543330573	0.7334086951519913	1716201426	0.1	13461538.461538462	20-05-24 12:37:06.682943
