# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
100000.0	100000.0	9.0	100000.0	3.2678997227208715	23.2956743866922	9.243016216694267	0.003793625924092755	-45.39999999999999	2.8840315031266117e-08	9.549925860214389e-10	-60.19999999999999	0.0002185168856200178	20.182301666416095	10.2121005743034	0.5	100000.0	29-05-24 15:26:54.883758
610256.4102564103	610256.4102564103	9.0	610256.4102564103	3.2564364564488666	23.26515211884635	9.21059320343234	0.017989802044369865	-13.799999999999997	4.168693834703357e-05	1.6595869074375612e-05	-17.799999999999997	0.028806135695694773	-0.6786641110384948	0.92484040336246	0.5	610256.4102564103	29-05-24 15:27:04.697311
1120512.8205128205	1120512.8205128205	9.0	1120512.8205128205	3.243806747042735	23.231399412471696	9.174870990770376	0.025039737696516264	-11.799999999999997	6.606934480075965e-05	2.1877616239495553e-05	-16.599999999999994	0.033073869020342594	4.8627183739955475	1.7503944139993934	0.5	1120512.8205128205	29-05-24 15:27:21.217178
1630769.2307692308	1630769.2307692308	9.0	1630769.2307692308	3.2510390384515846	23.250743647284043	9.195326999965234	0.016399104660635194	0.2000000000000031	0.0010471285480509003	3.1622776601683796e-06	-25.0	0.012574334296829354	3.0179209682290846	1.4154549398234304	0.5	1630769.2307692308	29-05-24 15:27:30.755374
2141025.641025641	2141025.641025641	9.0	2141025.641025641	3.2736179601800517	23.310859851152674	9.259189834629552	0.00889186657363634	23.000000000000014	0.1995262314968887	5.495408738576254e-06	-22.599999999999994	0.01657620091965625	1.5233254926786453	1.1916981760406224	0.5	2141025.641025641	29-05-24 15:28:00.891047
2651282.051282051	2651282.051282051	9.0	2651282.051282051	3.273928609571751	23.311684057992814	9.26006848379532	0.014661205275543788	23.80000000000001	0.23988329190194974	0.23988329190194974	23.80000000000001	3.4632592445697	-41.00426517991942	0.008908133994824437	0.5	2651282.051282051	29-05-24 15:28:10.498957
3161538.4615384615	3161538.4615384615	9.0	3161538.4615384615	3.254797690308369	23.260779939373553	9.205958072829443	0.012200924923116392	23.400000000000006	0.21877616239495565	0.21877616239495565	23.400000000000006	3.3073869020342603	-39.70304854391158	0.010347789197625808	0.5	3161538.4615384615	29-05-24 15:28:20.314697
3671794.871794872	3671794.871794872	9.0	3671794.871794872	3.273334592888726	23.31010796025349	9.258388350896501	0.019733173680388193	23.400000000000006	0.21877616239495565	0.21877616239495565	23.400000000000006	3.3073869020342603	-37.48202533147081	0.01336283892349868	0.5	3671794.871794872	29-05-24 15:28:29.853598
4182051.282051282	4182051.282051282	9.0	4182051.282051282	3.2680351280992674	23.296034278949442	9.24339920093936	0.01964244260915987	23.400000000000006	0.21877616239495565	0.21877616239495565	23.400000000000006	3.3073869020342603	-38.875935326264745	0.011381597777224119	0.5	4182051.282051282	29-05-24 15:28:39.326027
4692307.692307693	4692307.692307693	9.0	4692307.692307693	3.2729424580274658	23.309067356531486	9.257279226018353	0.012344536938233048	23.400000000000006	0.21877616239495565	0.21877616239495565	23.400000000000006	3.3073869020342603	-38.65595194534036	0.011673535348544282	0.5	4692307.692307693	29-05-24 15:28:48.862740
