# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.024	0.0	250	250	0	0	0	0	205.526243	210.450892	205.339901	205.412852	42.6650074	1717027695.4436798	-11.9596667	-7437547.0	-7450829.0	-7457803.0	-7454646.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2001.019800198002	0.0	30-05-24 02:08:22.122406
0.6	0.002	250	250	1638	1638	1638	1638	204.889376	209.883954	204.776129	204.866207	42.6311724	1717027735.0531356	-11.3809804	-7156274.0	-7169086.0	-7176060.0	-7172819.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2001.019800198002	0.025	30-05-24 02:09:01.724234
1.2	0.005	250	250	3276	3276	3276	3276	204.729255	209.74489	204.62647	204.74713	42.5008451	1717027774.6470816	-10.7821012	-6779625.0	-6791688.0	-6798289.0	-6795323.0	-1.16090577	-8125091.0	-8115358.0	-8114715.0	-8111139.0	20	2001.019800198002	0.05	30-05-24 02:09:41.336300
1.8	0.008	250	250	4915	4915	4915	4915	204.639781	209.651058	204.541066	204.655559	42.5981086	1717027814.2589967	-10.1835393	-6403218.0	-6414512.0	-6420731.0	-6418056.0	-1.09660957	-7675028.0	-7665834.0	-7665231.0	-7661795.0	20	2001.019800198002	0.075	30-05-24 02:10:20.947129
2.4	0.012	250	250	6553	6553	6553	6553	200.114329	199.938987	199.928723	199.931385	42.6132428	1717027853.870451	-9.58341972	-6025813.0	-6036330.0	-6042230.0	-6039750.0	-1.03209928	-7223512.0	-7214788.0	-7214209.0	-7210971.0	20	2001.019800198002	0.1	30-05-24 02:11:00.560066
3.0	0.015	250	250	8191	8191	8191	8191	187.607858	187.44257	187.434838	187.437239	42.7844419	1717027893.4853258	-8.98427188	-5649025.0	-5658819.0	-5664343.0	-5662068.0	-0.967690116	-6772615.0	-6764376.0	-6763879.0	-6760783.0	20	2001.019800198002	0.125	30-05-24 02:11:40.175326
3.6	0.018	250	250	9830	9830	9830	9830	175.097526	174.943155	174.937449	174.939364	42.7525349	1717027933.0986772	-8.38563347	-5272479.0	-5281500.0	-5286686.0	-5284658.0	-0.903300139	-6321903.0	-6314090.0	-6313639.0	-6310713.0	20	2001.019800198002	0.15	30-05-24 02:12:19.788983
4.2	0.021	250	250	11468	11468	11468	11468	162.595023	162.449869	162.4468	162.448241	42.6046635	1717027972.723597	-7.78625843	-4895589.0	-4903897.0	-4908692.0	-4906899.0	-0.838779041	-5870250.0	-5862934.0	-5862555.0	-5859792.0	20	2001.019800198002	0.175	30-05-24 02:12:59.413617
4.799	0.024	250	250	13107	13107	13107	13107	150.082267	149.946624	149.946011	149.946981	42.6217256	1717028012.3371081	-7.18736141	-4518960.0	-4526503.0	-4530952.0	-4529388.0	-0.774314754	-5419024.0	-5412174.0	-5411840.0	-5409268.0	20	2001.019800198002	0.2	30-05-24 02:13:39.026768
5.4	0.027	250	250	14745	14745	14745	14745	137.579181	137.453298	137.452602	137.453105	42.7155188	1717028051.9494333	-6.58786217	-4141946.0	-4148699.0	-4152814.0	-4151476.0	-0.709745725	-4967030.0	-4960651.0	-4960368.0	-4957957.0	20	2001.019800198002	0.225	30-05-24 02:14:18.637664
