# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	206.020606	210.944664	205.827958	205.891883	39.7952397	1718220281.2724776	-11.9611037	-7437290.0	-7451600.0	-7458479.0	-7455536.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1801.0178201782016	0.0	12-06-24 21:24:47.941700
0.6	0.002	250	250	1638	1638	1638	1638	205.547505	210.529997	205.426249	205.543848	39.7927411	1718220320.862641	-11.3812414	-7155029.0	-7168665.0	-7175427.0	-7172447.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1801.0178201782016	0.025	12-06-24 21:25:27.539612
1.2	0.005	250	250	3276	3276	3276	3276	205.401337	210.390831	205.277958	205.384191	39.8074441	1718220360.4624305	-10.7823325	-6778566.0	-6791333.0	-6797734.0	-6794985.0	-1.15961577	-8114496.0	-8105342.0	-8104582.0	-8101206.0	20	1801.0178201782016	0.05	12-06-24 21:26:07.151650
1.8	0.008	250	250	4915	4915	4915	4915	205.299503	210.30278	205.194623	205.306417	39.8290661	1718220400.08043	-10.1837807	-6402338.0	-6414177.0	-6420260.0	-6417728.0	-1.09543221	-7665486.0	-7656639.0	-7655932.0	-7652753.0	20	1801.0178201782016	0.075	12-06-24 21:26:46.767881
2.401	0.012	250	250	6553	6553	6553	6553	200.139973	199.964755	199.956021	199.956962	39.8179187	1718220439.6934288	-9.58361772	-6024926.0	-6035992.0	-6041755.0	-6039420.0	-1.0311387	-7215533.0	-7207106.0	-7206490.0	-7203452.0	20	1801.0178201782016	0.1	12-06-24 21:27:26.372518
3.001	0.015	250	250	8191	8191	8191	8191	187.631994	187.466815	187.460399	187.460871	39.8008133	1718220479.2936616	-8.98458679	-5648399.0	-5658541.0	-5663928.0	-5661835.0	-0.966919219	-6766115.0	-6758067.0	-6757535.0	-6754648.0	20	1801.0178201782016	0.125	12-06-24 21:28:05.983058
3.6	0.018	250	250	9830	9830	9830	9830	175.120422	174.965989	174.961527	174.962076	39.7963928	1718220518.9063325	-8.38578938	-5271860.0	-5281246.0	-5286304.0	-5284394.0	-0.9024049	-6314657.0	-6307028.0	-6306532.0	-6303793.0	20	1801.0178201782016	0.15	12-06-24 21:28:45.594755
4.2	0.021	250	250	11468	11468	11468	11468	162.616073	162.470509	162.468606	162.468912	39.8086934	1718220558.5188122	-7.78642425	-4894973.0	-4903563.0	-4908273.0	-4906598.0	-0.838118969	-5864724.0	-5857533.0	-5857101.0	-5854533.0	20	1801.0178201782016	0.175	12-06-24 21:29:25.208663
4.8	0.024	250	250	13107	13107	13107	13107	150.101831	149.966024	149.966407	149.966043	39.8384837	1718220598.128917	-7.18762757	-4518434.0	-4526252.0	-4530621.0	-4529170.0	-0.773820532	-5414662.0	-5407983.0	-5407619.0	-5405189.0	20	1801.0178201782016	0.2	12-06-24 21:30:04.817026
5.4	0.027	250	250	14745	14745	14745	14745	137.59696	137.471011	137.471308	137.470434	39.8481896	1718220637.7409568	-6.58796235	-4141411.0	-4148422.0	-4152447.0	-4151201.0	-0.709206645	-4962460.0	-4956174.0	-4955874.0	-4953616.0	20	1801.0178201782016	0.225	12-06-24 21:30:44.429319
6.0	0.03	250	250	16383	16383	16383	16383	125.089418	124.973101	124.974601	124.974098	39.82503	1718220677.363597	-5.98914199	-3764868.0	-3771080.0	-3774768.0	-3773756.0	-0.644790138	-4511648.0	-4505818.0	-4505594.0	-4503468.0	20	1801.0178201782016	0.25	12-06-24 21:31:24.052788
