# 
Scope_Frequency	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Delay	a	b	
1000.0	25730.0	1000.0	0.02498205754326378	-19.037135955963155	0.07065992918733746	0.0012909679745323312	0.5	1000.0	0	06-06-24 12:54:38.489518
1047.1285480508996	25730.0	1047.1285480508996	0.024948081748682228	-19.04895687422353	0.07056383112835818	0.0011536880436339907	0.5	1047.1285480508996	0	06-06-24 12:54:59.257003
1096.4781961431852	25730.0	1096.4781961431852	0.026213406820833896	-18.619230690937737	0.07414271088405339	0.0015316245505233995	0.5	1096.4781961431852	0	06-06-24 12:55:19.773502
1148.1536214968828	25730.0	1148.1536214968828	0.027193866237824434	-18.300280903462514	0.07691586889378227	0.0012237205981897009	0.5	1148.1536214968828	0	06-06-24 12:55:39.770079
1202.264434617413	25730.0	1202.264434617413	0.028313943265367	-17.949692893336863	0.08008392514028874	0.0014202780832543135	0.5	1202.264434617413	0	06-06-24 12:55:59.909842
1258.9254117941673	25730.0	1258.9254117941673	0.02782551630375967	-18.10083541464053	0.0787024450736212	0.0010071527152599674	0.5	1258.9254117941673	0	06-06-24 12:56:20.040559
1318.256738556407	25730.0	1318.256738556407	0.029723681097909047	-17.527648180141448	0.08407126586463158	0.0010272707882159698	0.5	1318.256738556407	0	06-06-24 12:56:40.654054
1380.3842646028847	25730.0	1380.3842646028847	0.030189850783581215	-17.392480713688187	0.08538979284832114	0.0012086817949518037	0.5	1380.3842646028847	0	06-06-24 12:57:03.658523
1445.4397707459275	25730.0	1445.4397707459275	0.03120878602905527	-17.10416253044211	0.08827177693497988	0.0012074535464194848	0.5	1445.4397707459275	0	06-06-24 12:57:23.776490
1513.5612484362082	25730.0	1513.5612484362082	0.03213051198867269	-16.851347124559037	0.0908788116407445	0.001255393218831806	0.5	1513.5612484362082	0	06-06-24 12:57:44.475772
1584.8931924611136	25730.0	1584.8931924611136	0.032531851271145766	-16.743524480787126	0.09201397055351751	0.0008156151636852776	0.5	1584.8931924611136	0	06-06-24 12:58:04.742675
1659.5869074375607	25730.0	1659.5869074375607	0.032170283774757405	-16.840602206565627	0.09099130323930611	0.000776664704321743	0.5	1659.5869074375607	0	06-06-24 12:58:25.471110
1737.8008287493756	25730.0	1737.8008287493756	0.03318717901776538	-16.57029328327863	0.09386751732765522	0.0008049304613518608	0.5	1737.8008287493756	0	06-06-24 12:58:46.080186
1819.7008586099835	25730.0	1819.7008586099835	0.03356070111256341	-16.473079542457608	0.09492399735227398	0.0006941259907589822	0.5	1819.7008586099835	0	06-06-24 12:59:06.340254
1905.4607179632471	25730.0	1905.4607179632471	0.034287343321170165	-16.287023321903483	0.09697925188508282	0.0008199838185913595	0.5	1905.4607179632471	0	06-06-24 12:59:27.661487
1995.2623149688795	25730.0	1995.2623149688795	0.0364695751755223	-15.7510859561364	0.10315153565441758	0.0010617619795437153	0.5	1995.2623149688795	0	06-06-24 12:59:47.934627
2089.29613085404	25730.0	2089.29613085404	0.03584550282661338	-15.901006505821364	0.10138639249495952	0.0008308892178367612	0.5	2089.29613085404	0	06-06-24 13:00:08.522495
2187.7616239495524	25730.0	2187.7616239495524	0.037741996909521645	-15.453202548698782	0.10675048780097791	0.0010299348210943422	0.5	2187.7616239495524	0	06-06-24 13:00:29.698073
2290.8676527677726	25730.0	2290.8676527677726	0.0382459873800143	-15.337982495466047	0.10817598811833293	0.0009449735355466832	0.5	2290.8676527677726	0	06-06-24 13:00:51.314972
2398.8329190194904	25730.0	2398.8329190194904	0.03772055239270377	-15.458139161976703	0.10668983354793317	0.0007387360888821052	0.5	2398.8329190194904	0	06-06-24 13:01:11.571014
2511.8864315095802	25730.0	2511.8864315095802	0.038920384402901353	-15.186157623543634	0.11008347095071475	0.0011826347453758785	0.5	2511.8864315095802	0	06-06-24 13:01:31.789288
2630.2679918953822	25730.0	2630.2679918953822	0.03946020679807735	-15.066512905002007	0.111610319255776	0.0013883233833664006	0.5	2630.2679918953822	0	06-06-24 13:01:51.086643
2754.2287033381663	25730.0	2754.2287033381663	0.04001271495257665	-14.945739638664602	0.11317304830660527	0.0011176388708827349	0.5	2754.2287033381663	0	06-06-24 13:02:11.730371
2884.031503126606	25730.0	2884.031503126606	0.040178714580550556	-14.909779274410582	0.11364256615706443	0.0013483519378469431	0.5	2884.031503126606	0	06-06-24 13:02:32.849998
3019.9517204020162	25730.0	3019.9517204020162	0.04018847014376147	-14.907670559364409	0.11367015905666737	0.0013874064216337092	0.5	3019.9517204020162	0	06-06-24 13:02:51.713933
3162.2776601683795	25730.0	3162.2776601683795	0.04100419058421975	-14.733135175013734	0.11597736487666949	0.0013776176120416622	0.5	3162.2776601683795	0	06-06-24 13:03:12.126860
3311.3112148259106	25730.0	3311.3112148259106	0.04123184179581852	-14.685045346413567	0.11662125973853676	0.0009855328341602397	0.5	3311.3112148259106	0	06-06-24 13:03:32.261505
3467.368504525316	25730.0	3467.368504525316	0.042395652745781	-14.443273517785107	0.11991301419748727	0.001120041241495643	0.5	3467.368504525316	0	06-06-24 13:03:49.939858
3630.7805477010133	25730.0	3630.7805477010133	0.04260900407193302	-14.399672377947077	0.12051646287547624	0.001090769771604058	0.5	3630.7805477010133	0	06-06-24 13:04:09.559022
3801.893963205612	25730.0	3801.893963205612	0.042378487082179964	-14.446791077784962	0.11986446236894384	0.0011101771924346324	0.5	3801.893963205612	0	06-06-24 13:04:27.637347
3981.0717055349724	25730.0	3981.0717055349724	0.0428540187164504	-14.349868944294176	0.12120946894198924	0.0012056913570778311	0.5	3981.0717055349724	0	06-06-24 13:04:47.028475
4168.693834703354	25730.0	4168.693834703354	0.04319515162352433	-14.280999987301042	0.12217433850950066	0.0012646002746234245	0.5	4168.693834703354	0	06-06-24 13:05:06.598904
4365.15832240166	25730.0	4365.15832240166	0.043318754214896574	-14.256180874403357	0.12252393943162682	0.0012541880561060404	0.5	4365.15832240166	0	06-06-24 13:05:26.245032
4570.8818961487505	25730.0	4570.8818961487505	0.043293362689485866	-14.261273648986418	0.1224521213524165	0.0013518135352164212	0.5	4570.8818961487505	0	06-06-24 13:05:45.950422
4786.300923226384	25730.0	4786.300923226384	0.04343336678457151	-14.233230133855132	0.12284811273253228	0.0011994092666632319	0.5	4786.300923226384	0	06-06-24 13:06:05.347389
5011.872336272724	25730.0	5011.872336272724	0.043867058048075294	-14.146929856437335	0.12407477686599183	0.0016201453388984782	0.5	5011.872336272724	0	06-06-24 13:06:25.364553
5248.074602497725	25730.0	5248.074602497725	0.04367474872440633	-14.185091742976416	0.12353084395858495	0.0016801837800697814	0.5	5248.074602497725	0	06-06-24 13:06:44.896330
5495.408738576245	25730.0	5495.408738576245	0.04387978314199094	-14.144410591682933	0.12411076886678778	0.0012635542249929178	0.5	5495.408738576245	0	06-06-24 13:07:03.754849
5754.39937337157	25730.0	5754.39937337157	0.04433382889088299	-14.054995228168215	0.12539500417882976	0.00162306553651194	0.5	5754.39937337157	0	06-06-24 13:07:24.086610
6025.595860743578	25730.0	6025.595860743578	0.0443658628119768	-14.048721404436687	0.12548560979016346	0.0014687238811003206	0.5	6025.595860743578	0	06-06-24 13:07:44.295321
6309.573444801932	25730.0	6309.573444801932	0.04420119648254618	-14.081019534779	0.1250198630774695	0.0016883397268336554	0.5	6309.573444801932	0	06-06-24 13:08:04.282089
6606.93448007596	25730.0	6606.93448007596	0.044701122920673124	-13.983331382901994	0.12643386857544553	0.0016427933376187162	0.5	6606.93448007596	0	06-06-24 13:08:27.764131
6918.309709189366	25730.0	6918.309709189366	0.04478062104156746	-13.967897797108492	0.1266587232169494	0.0016884588305035207	0.5	6918.309709189366	0	06-06-24 13:08:48.603336
7244.3596007499	25730.0	7244.3596007499	0.04466029407522998	-13.991268474370946	0.12631838716152205	0.0018788652077722872	0.5	7244.3596007499	0	06-06-24 13:09:08.232133
7585.775750291837	25730.0	7585.775750291837	0.04456381265218242	-14.010053247905475	0.12604549648754024	0.0017479666712115185	0.5	7585.775750291837	0	06-06-24 13:09:27.173412
7943.282347242814	25730.0	7943.282347242814	0.04433914732379304	-14.053953302582054	0.1254100469787337	0.0018007148085100442	0.5	7943.282347242814	0	06-06-24 13:09:46.490960
8317.63771102671	25730.0	8317.63771102671	0.0446050905723404	-14.002011532203557	0.12616224807656815	0.0017917983401444305	0.5	8317.63771102671	0	06-06-24 13:10:05.515400
