# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	215.485802	220.322792	215.33467	215.381222	20.8708994	1715162046.6509573	-11.9607623	-7454156.0	-7467182.0	-7473731.0	-7471307.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	101.0009900099001	0.0	08-05-24 11:54:13.085543
0.6	0.002	250	250	1638	1638	1638	1638	215.219946	220.131025	215.122263	215.217158	21.2651248	1715162085.8801594	-11.3808286	-7156265.0	-7168903.0	-7175298.0	-7172827.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	101.0009900099001	0.025	08-05-24 11:54:52.312095
1.2	0.005	250	250	3276	3276	3276	3276	215.019776	219.913975	214.907382	215.021404	21.4737366	1715162125.1072633	-10.781839	-6779591.0	-6791466.0	-6797553.0	-6795266.0	-1.1606436	-8122798.0	-8113855.0	-8112902.0	-8108913.0	20	101.0009900099001	0.05	08-05-24 11:55:31.551076
1.799	0.008	250	250	4915	4915	4915	4915	212.617071	212.446916	212.437326	212.431916	21.7052505	1715162164.383064	-10.1832062	-6403143.0	-6414260.0	-6419979.0	-6417911.0	-1.09625993	-7672204.0	-7663650.0	-7662776.0	-7658966.0	20	101.0009900099001	0.075	08-05-24 11:56:10.834780
2.4	0.012	250	250	6553	6553	6553	6553	200.113979	199.951328	199.944505	199.939	21.5021967	1715162203.6403203	-9.58300017	-6025675.0	-6036058.0	-6041471.0	-6039566.0	-1.03205544	-7222745.0	-7214623.0	-7213800.0	-7210238.0	20	101.0009900099001	0.1	08-05-24 11:56:50.084613
3.0	0.015	250	250	8191	8191	8191	8191	187.607606	187.45495	187.449843	187.445081	20.9252324	1715162242.880259	-8.98391457	-5648931.0	-5658568.0	-5663637.0	-5661975.0	-0.967552587	-6771356.0	-6763620.0	-6762896.0	-6759492.0	20	101.0009900099001	0.125	08-05-24 11:57:29.323491
3.6	0.018	250	250	9830	9830	9830	9830	175.097534	174.954164	174.951954	174.947562	20.3540176	1715162282.1174338	-8.38511849	-5272348.0	-5281196.0	-5285963.0	-5284482.0	-0.90315189	-6320539.0	-6313250.0	-6312617.0	-6309400.0	20	101.0009900099001	0.15	08-05-24 11:58:08.554934
4.2	0.021	250	250	11468	11468	11468	11468	162.593975	162.459003	162.459819	162.455224	19.7683789	1715162321.3589408	-7.7857123	-4895402.0	-4903510.0	-4907938.0	-4906625.0	-0.838627021	-5868893.0	-5862085.0	-5861470.0	-5858422.0	20	101.0009900099001	0.175	08-05-24 11:58:47.808013
4.799	0.024	250	250	13107	13107	13107	13107	150.081527	149.954858	149.958325	149.953671	19.428675	1715162360.6079946	-7.18697137	-4518849.0	-4526196.0	-4530308.0	-4529182.0	-0.774400358	-5419321.0	-5412970.0	-5412420.0	-5409542.0	20	101.0009900099001	0.2	08-05-24 11:59:27.052822
5.4	0.027	250	250	14745	14745	14745	14745	137.578067	137.46041	137.463708	137.459381	19.8372559	1715162399.8492935	-6.58725616	-4141680.0	-4148276.0	-4152080.0	-4151137.0	-0.70974343	-4966720.0	-4960822.0	-4960367.0	-4957734.0	20	101.0009900099001	0.225	08-05-24 12:00:06.292295
