# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.043	0.0	250	250	0	0	0	0	216.983106	221.814548	216.914634	217.003126	12.6279224	1716831797.517416	-11.9552758	-7460433.0	-7473307.0	-7479533.0	-7477487.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	10.0	601.0059400594006	0.0	27-05-24 19:43:24.193459
0.6	0.002	250	250	1638	1638	1638	1638	216.957906	221.812616	216.865472	216.978307	12.4251147	1716831827.1482224	-11.3805114	-7156202.0	-7168684.0	-7174775.0	-7172668.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	10.0	601.0059400594006	0.025	27-05-24 19:43:53.824894
1.2	0.005	250	250	3276	3276	3276	3276	216.963211	221.852927	216.890075	217.007142	12.3123907	1716831856.748946	-10.7818411	-6779726.0	-6791454.0	-6797173.0	-6795293.0	-1.1609243	-8124335.0	-8115749.0	-8114563.0	-8110356.0	10.0	601.0059400594006	0.05	27-05-24 19:44:23.438393
1.8	0.008	250	250	4915	4915	4915	4915	212.600351	212.437768	212.428731	212.420498	12.1458839	1716831886.36358	-10.1834224	-6403368.0	-6414351.0	-6419801.0	-6418038.0	-1.09658389	-7674040.0	-7665921.0	-7664752.0	-7660719.0	10.0	601.0059400594006	0.075	27-05-24 19:44:53.051205
2.4	0.012	250	250	6553	6553	6553	6553	200.096934	199.942348	199.936094	199.927976	12.1916422	1716831915.9740984	-9.58328258	-6025920.0	-6036151.0	-6041329.0	-6039719.0	-1.03184834	-7220910.0	-7213226.0	-7212140.0	-7208346.0	10.0	601.0059400594006	0.1	27-05-24 19:45:22.661353
3.0	0.015	250	250	8191	8191	8191	8191	187.591104	187.445167	187.44153	187.434435	12.426261	1716831945.5834458	-8.98438347	-5649272.0	-5658770.0	-5663609.0	-5662200.0	-0.967510315	-6770619.0	-6763270.0	-6762323.0	-6758726.0	10.0	601.0059400594006	0.125	27-05-24 19:45:52.273886
3.6	0.018	250	250	9830	9830	9830	9830	175.082208	174.945047	174.944389	174.937184	12.6839023	1716831975.1976612	-8.38552467	-5272643.0	-5281411.0	-5285912.0	-5284715.0	-0.903165742	-6320241.0	-6313358.0	-6312449.0	-6309047.0	10.0	601.0059400594006	0.15	27-05-24 19:46:21.888661
4.2	0.021	250	250	11468	11468	11468	11468	162.580219	162.450544	162.452637	162.445779	12.7685408	1716832004.815057	-7.78625951	-4895758.0	-4903805.0	-4907993.0	-4906948.0	-0.838728269	-5869237.0	-5862756.0	-5861990.0	-5858763.0	10.0	601.0059400594006	0.175	27-05-24 19:46:51.503588
4.799	0.024	250	250	13107	13107	13107	13107	150.069078	149.946983	149.951932	149.945414	12.8021669	1716832034.4280367	-7.18754735	-4519209.0	-4526525.0	-4530386.0	-4529524.0	-0.774217116	-5417711.0	-5411627.0	-5410952.0	-5407929.0	10.0	601.0059400594006	0.2	27-05-24 19:47:21.116736
5.4	0.027	250	250	14745	14745	14745	14745	137.566859	137.453016	137.458008	137.451919	13.0646801	1716832064.0351448	-6.58784182	-4142080.0	-4148632.0	-4152212.0	-4151492.0	-0.709688133	-4966058.0	-4960374.0	-4959802.0	-4956984.0	10.0	601.0059400594006	0.225	27-05-24 19:47:50.722918
5.999	0.03	250	250	16383	16383	16383	16383	125.061594	124.95615	124.962591	124.95707	13.1143551	1716832093.6475544	-5.98900649	-3765422.0	-3771237.0	-3774519.0	-3773974.0	-0.645215212	-4514800.0	-4509547.0	-4509042.0	-4506420.0	10.0	601.0059400594006	0.25	27-05-24 19:48:20.336107
6.6	0.033	250	250	18022	18022	18022	18022	112.553455	112.45715	112.46528	112.460081	13.2010953	1716832123.2598677	-5.3895282	-3388394.0	-3393484.0	-3396452.0	-3396062.0	-0.580601433	-4062587.0	-4057748.0	-4057333.0	-4054936.0	10.0	601.0059400594006	0.275	27-05-24 19:48:49.949784
7.199	0.036	250	250	19660	19660	19660	19660	100.050814	99.9634295	99.973644	99.9686728	13.306177	1716832152.8821058	-4.79077312	-3011809.0	-3016162.0	-3018847.0	-3018620.0	-0.516046462	-3610720.0	-3606279.0	-3605975.0	-3603770.0	10.0	601.0059400594006	0.3	27-05-24 19:49:19.570522
7.8	0.039	250	250	21298	21298	21298	21298	87.5481279	87.4694014	87.4829127	87.4779794	13.3994131	1716832182.4952722	-4.19070245	-2634400.0	-2638005.0	-2640398.0	-2640333.0	-0.451458966	-3158649.0	-3154603.0	-3154394.0	-3152371.0	10.0	601.0059400594006	0.325	27-05-24 19:49:49.172713
8.399	0.042	250	250	22937	22937	22937	22937	75.0385334	74.9681047	74.9852923	74.9797286	13.3618703	1716832212.094664	-3.59214688	-2257922.0	-2260808.0	-2262876.0	-2262986.0	-0.386994449	-2707451.0	-2703801.0	-2703676.0	-2701875.0	10.0	601.0059400594006	0.35	27-05-24 19:50:18.782480
8.999	0.045	250	250	24575	24575	24575	24575	62.5325596	62.4716262	62.491798	62.4874471	13.4248238	1716832241.7064333	-2.99344766	-1881420.0	-1883554.0	-1885331.0	-1885605.0	-0.322509554	-2256083.0	-2252881.0	-2252823.0	-2251230.0	10.0	601.0059400594006	0.375	27-05-24 19:50:48.394157
9.599	0.048	250	250	26214	26214	26214	26214	50.0250429	49.9720771	49.9950214	49.9918786	13.254878	1716832271.3374822	-2.39422049	-1504545.0	-1505946.0	-1507418.0	-1507856.0	-0.257939555	-1804155.0	-1801340.0	-1801400.0	-1799999.0	10.0	601.0059400594006	0.4	27-05-24 19:51:18.025288
10.199	0.051	250	250	27852	27852	27852	27852	37.5232357	37.4783901	37.5045716	37.5011378	13.109101	1716832300.9738626	-1.79464615	-1127442.0	-1128098.0	-1129270.0	-1129869.0	-0.193349938	-1352054.0	-1349663.0	-1349787.0	-1348589.0	10.0	601.0059400594006	0.425	27-05-24 19:51:47.664115
10.799	0.055	250	250	29490	29490	29490	29490	25.0218741	24.9848915	25.0149514	25.0123087	12.9003706	1716832330.585134	-1.19490697	-750234.9	-750153.9	-751004.5	-751786.0	-0.128723343	-899719.9	-897737.1	-897967.9	-896955.2	10.0	601.0059400594006	0.45	27-05-24 19:52:17.273366
11.399	0.058	250	250	31129	31129	31129	31129	12.5128739	12.4847865	12.516421	12.5146303	12.8218459	1716832360.1991081	-0.595904541	-373524.9	-372703.4	-373259.2	-374209.1	-0.0641900365	-448056.8	-446485.5	-446799.5	-445968.7	10.0	601.0059400594006	0.475	27-05-24 19:52:46.888772
11.999	0.061	250	250	32767	32767	32767	32767	0.0090362535	-0.00993598734	0.0241435681	0.022443155	12.7063515	1716832389.813417	0.00334039836	3343.78	4911.16	4659.196	3540.896	0.000366967887	3768.168	4935.432	4518.188	5137.4	10.0	601.0059400594006	0.5	27-05-24 19:53:16.503072
12.599	0.064	250	250	34405	34405	34405	34405	-12.4907722	-12.5005695	-12.4639545	-12.4658058	12.5268529	1716832419.42623	0.602346718	380056.6	382341.0	382384.3	381114.1	0.0648861081	455349.6	456090.3	455597.8	456041.0	10.0	601.0059400594006	0.525	27-05-24 19:53:46.115527
