# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.024	0.0	250	250	0	0	0	0	205.246024	210.158018	205.060882	205.118936	42.6601876	1716904688.9998147	-11.9590738	-7437176.0	-7450395.0	-7457396.0	-7454334.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	601.0059400594006	0.0	28-05-24 15:58:15.676804
0.6	0.002	250	250	1638	1638	1638	1638	204.744962	209.724933	204.620379	204.723192	42.8700415	1716904728.5969503	-11.3806664	-7155764.0	-7168653.0	-7175458.0	-7172401.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	601.0059400594006	0.025	28-05-24 15:58:55.273794
1.2	0.005	250	250	3276	3276	3276	3276	204.707293	209.715808	204.582428	204.70923	42.8016004	1716904768.2028604	-10.7818188	-6779159.0	-6791255.0	-6797721.0	-6794910.0	-1.16095458	-8125222.0	-8115440.0	-8114706.0	-8111322.0	20	601.0059400594006	0.05	28-05-24 15:59:34.892407
1.8	0.008	250	250	4915	4915	4915	4915	204.43426	209.458703	204.347125	204.460198	42.5528025	1716904807.8184624	-10.183351	-6402832.0	-6414119.0	-6420284.0	-6417671.0	-1.09668765	-7675411.0	-7666106.0	-7665459.0	-7662192.0	20	601.0059400594006	0.075	28-05-24 16:00:14.507963
2.4	0.012	250	250	6553	6553	6553	6553	200.124951	199.949362	199.939299	199.941919	42.3354297	1716904847.430354	-9.58327917	-6025486.0	-6036031.0	-6041834.0	-6039441.0	-1.03216121	-7223740.0	-7214872.0	-7214331.0	-7211200.0	20	601.0059400594006	0.1	28-05-24 16:00:54.108986
3.0	0.015	250	250	8191	8191	8191	8191	187.617855	187.452842	187.444874	187.446906	42.3955808	1716904887.0552146	-8.98417035	-5648742.0	-5658538.0	-5663989.0	-5661819.0	-0.967728503	-6772720.0	-6764399.0	-6763882.0	-6760955.0	20	601.0059400594006	0.125	28-05-24 16:01:33.751976
3.6	0.018	250	250	9830	9830	9830	9830	175.106992	174.952093	174.947294	174.948323	42.3232839	1716904926.6777112	-8.3855115	-5272280.0	-5281306.0	-5286406.0	-5284445.0	-0.903324965	-6321920.0	-6314071.0	-6313618.0	-6310845.0	20	601.0059400594006	0.15	28-05-24 16:02:13.369733
4.2	0.021	250	250	11468	11468	11468	11468	162.603528	162.458205	162.455391	162.455876	42.447249	1716904966.293557	-7.78614003	-4895349.0	-4903611.0	-4908360.0	-4906621.0	-0.838810192	-5870321.0	-5862962.0	-5862545.0	-5859903.0	20	601.0059400594006	0.175	28-05-24 16:02:52.983170
4.799	0.024	250	250	13107	13107	13107	13107	150.090001	149.954125	149.953525	149.954212	42.6323292	1716905005.9123378	-7.18741304	-4518793.0	-4526319.0	-4530736.0	-4529211.0	-0.774334728	-5418987.0	-5412065.0	-5411729.0	-5409224.0	20	601.0059400594006	0.2	28-05-24 16:03:32.601579
5.4	0.027	250	250	14745	14745	14745	14745	137.58654	137.460533	137.460151	137.460753	42.6620191	1716905045.5312133	-6.58775135	-4141691.0	-4148435.0	-4152534.0	-4151245.0	-0.709747588	-4966876.0	-4960451.0	-4960184.0	-4957857.0	20	601.0059400594006	0.225	28-05-24 16:04:12.220049
5.999	0.03	250	250	16383	16383	16383	16383	125.080058	124.963788	124.964248	124.964101	42.5210883	1716905085.1720533	-5.98879063	-3765043.0	-3771044.0	-3774776.0	-3773685.0	-0.645247052	-4515416.0	-4509432.0	-4509193.0	-4507031.0	20	601.0059400594006	0.25	28-05-24 16:04:51.859719
6.599	0.033	250	250	18022	18022	18022	18022	112.57019	112.464658	112.466268	112.466509	42.3270433	1716905124.7817166	-5.38923493	-3387975.0	-3393210.0	-3396595.0	-3395726.0	-0.580655989	-4063300.0	-4057815.0	-4057657.0	-4055664.0	20	601.0059400594006	0.275	28-05-24 16:05:31.470426
7.199	0.036	250	250	19660	19660	19660	19660	100.065592	99.9708985	99.9740916	99.9736739	42.3181749	1716905164.3937712	-4.79051104	-3011458.0	-3015940.0	-3018976.0	-3018326.0	-0.516147226	-3611746.0	-3606744.0	-3606641.0	-3604814.0	20	601.0059400594006	0.3	28-05-24 16:06:11.082933
7.8	0.039	250	250	21298	21298	21298	21298	87.5609854	87.4765566	87.4830414	87.4816283	42.3437198	1716905204.0099266	-4.19049533	-2634130.0	-2637848.0	-2640533.0	-2640132.0	-0.451500341	-3159248.0	-3154675.0	-3154648.0	-3152978.0	20	601.0059400594006	0.325	28-05-24 16:06:50.700037
8.399	0.042	250	250	22937	22937	22937	22937	75.0494426	74.9750812	74.984729	74.9822647	42.1320344	1716905243.6232212	-3.59182256	-2257624.0	-2260584.0	-2262925.0	-2262732.0	-0.387005431	-2707759.0	-2703695.0	-2703730.0	-2702208.0	20	601.0059400594006	0.35	28-05-24 16:07:30.311865
8.999	0.045	250	250	24575	24575	24575	24575	62.5420003	62.4786871	62.4909621	62.4887834	42.3125839	1716905283.234284	-2.99325782	-1881167.0	-1883381.0	-1885367.0	-1885405.0	-0.32249754	-2256208.0	-2252612.0	-2252711.0	-2251349.0	20	601.0059400594006	0.375	28-05-24 16:08:09.923634
9.599	0.048	250	250	26214	26214	26214	26214	50.0325453	49.9790397	49.9935828	49.9922445	42.4575634	1716905322.8539302	-2.39387568	-1504240.0	-1505690.0	-1507329.0	-1507584.0	-0.257918941	-1804118.0	-1801025.0	-1801183.0	-1799996.0	20	601.0059400594006	0.4	28-05-24 16:08:49.542343
10.199	0.051	250	250	27852	27852	27852	27852	37.5293115	37.4857141	37.5031087	37.500208	42.7108918	1716905362.4659295	-1.79435905	-1127191.0	-1127890.0	-1129184.0	-1129661.0	-0.193318388	-1351886.0	-1349277.0	-1349507.0	-1348465.0	20	601.0059400594006	0.425	28-05-24 16:09:29.153581
