# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	214.78664	219.630124	214.633827	214.711751	20.4294321	1717698789.0029695	-11.9617652	-7455084.0	-7468045.0	-7474590.0	-7472116.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1001.009900099001	0.0	06-06-24 20:33:15.688315
0.6	0.002	250	250	1638	1638	1638	1638	214.316801	219.254714	214.249461	214.365233	19.8898928	1717698828.6121109	-11.3815412	-7157267.0	-7169858.0	-7176219.0	-7173727.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1001.009900099001	0.025	06-06-24 20:33:55.288289
1.2	0.005	250	250	3276	3276	3276	3276	214.302711	219.263045	214.247696	214.350658	19.576173	1717698868.2120876	-10.7826547	-6780595.0	-6792454.0	-6798488.0	-6796204.0	-1.16046657	-8121908.0	-8113029.0	-8111973.0	-8107996.0	20	1001.009900099001	0.05	06-06-24 20:34:34.902661
1.8	0.008	250	250	4915	4915	4915	4915	212.607719	212.437778	212.427712	212.423643	19.9620178	1717698907.84561	-10.1840718	-6404094.0	-6415198.0	-6420883.0	-6418830.0	-1.0963824	-7673203.0	-7664841.0	-7663873.0	-7660048.0	20	1001.009900099001	0.075	06-06-24 20:35:14.535357
2.401	0.012	250	250	6553	6553	6553	6553	200.104286	199.942764	199.934788	199.930643	20.4200412	1717698947.4733648	-9.58386758	-6026658.0	-6036981.0	-6042379.0	-6040480.0	-1.03200318	-7222540.0	-7214605.0	-7213778.0	-7210122.0	20	1001.009900099001	0.1	06-06-24 20:35:54.162629
3.001	0.015	250	250	8191	8191	8191	8191	187.598168	187.446217	187.440741	187.437161	20.8373605	1717698987.0845783	-8.9847642	-5649851.0	-5659463.0	-5664519.0	-5662827.0	-0.967595117	-6771697.0	-6764169.0	-6763396.0	-6759911.0	20	1001.009900099001	0.125	06-06-24 20:36:33.773422
3.6	0.018	250	250	9830	9830	9830	9830	175.089011	174.946264	174.943498	174.940043	21.099347	1717699026.695448	-8.38589125	-5273179.0	-5282055.0	-5286805.0	-5285280.0	-0.903202991	-6321003.0	-6313896.0	-6313195.0	-6309933.0	20	1001.009900099001	0.15	06-06-24 20:37:13.384345
4.2	0.021	250	250	11468	11468	11468	11468	162.586906	162.452168	162.452145	162.44859	21.3899852	1717699066.3086433	-7.78658733	-4896220.0	-4904348.0	-4908767.0	-4907448.0	-0.838690587	-5869394.0	-5862711.0	-5862073.0	-5859029.0	20	1001.009900099001	0.175	06-06-24 20:37:52.998489
4.8	0.024	250	250	13107	13107	13107	13107	150.075122	149.948741	149.951354	149.948262	21.5587336	1717699105.9434235	-7.18790637	-4519694.0	-4527072.0	-4531176.0	-4530032.0	-0.77413505	-5417569.0	-5411300.0	-5410744.0	-5407861.0	20	1001.009900099001	0.2	06-06-24 20:38:32.631358
5.4	0.027	250	250	14745	14745	14745	14745	137.573053	137.455082	137.458165	137.454747	21.3027842	1717699145.5611155	-6.58823229	-4142506.0	-4149142.0	-4152940.0	-4151973.0	-0.70965439	-4966250.0	-4960394.0	-4959916.0	-4957220.0	20	1001.009900099001	0.225	06-06-24 20:39:12.251871
6.0	0.03	250	250	16383	16383	16383	16383	125.06756	124.958688	124.962203	124.95953	20.8331442	1717699185.171805	-5.98934428	-3765835.0	-3771711.0	-3775194.0	-3774421.0	-0.64499379	-4513639.0	-4508197.0	-4507846.0	-4505328.0	20	1001.009900099001	0.25	06-06-24 20:39:51.859911
6.6	0.033	250	250	18022	18022	18022	18022	112.558415	112.459396	112.464898	112.462078	20.6108295	1717699224.7844322	-5.38969147	-3388679.0	-3393841.0	-3396988.0	-3396388.0	-0.580522816	-4062403.0	-4057336.0	-4057046.0	-4054731.0	20	1001.009900099001	0.275	06-06-24 20:40:31.471894
7.199	0.036	250	250	19660	19660	19660	19660	100.055357	99.9658827	99.9735998	99.9705452	20.3975223	1717699264.394051	-4.790986	-3012115.0	-3016515.0	-3019349.0	-3018952.0	-0.516044972	-3611082.0	-3606473.0	-3606236.0	-3604135.0	20	1001.009900099001	0.3	06-06-24 20:41:11.082878
7.8	0.039	250	250	21298	21298	21298	21298	87.5519961	87.4714086	87.4822427	87.4791621	19.9984147	1717699304.00777	-4.19084812	-2634658.0	-2638317.0	-2640826.0	-2640624.0	-0.451387168	-3158463.0	-3154297.0	-3154136.0	-3152206.0	20	1001.009900099001	0.325	06-06-24 20:41:50.690150
8.4	0.042	250	250	22937	22937	22937	22937	75.0417328	74.9703279	74.9848231	74.9807605	19.6819245	1717699343.616166	-3.59228724	-2258175.0	-2261089.0	-2263261.0	-2263248.0	-0.38683791	-2706644.0	-2702894.0	-2702808.0	-2701078.0	20	1001.009900099001	0.35	06-06-24 20:42:30.305393
8.999	0.045	250	250	24575	24575	24575	24575	62.5355093	62.4738155	62.4909225	62.487566	19.6525013	1717699383.2276876	-2.99354217	-1881599.0	-1883769.0	-1885626.0	-1885800.0	-0.322442345	-2255816.0	-2252514.0	-2252506.0	-2250965.0	20	1001.009900099001	0.375	06-06-24 20:43:09.918075
