# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	214.600952	219.457717	214.45999	214.532344	20.9386479	1718029396.9734957	-11.9621265	-7454746.0	-7467677.0	-7474211.0	-7471717.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1501.0148501485014	0.0	10-06-24 16:23:23.651840
0.6	0.002	250	250	1638	1638	1638	1638	214.271956	219.196993	214.168059	214.277838	20.8163748	1718029436.5773394	-11.3816283	-7157241.0	-7169774.0	-7176126.0	-7173646.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1501.0148501485014	0.025	10-06-24 16:24:03.245293
1.2	0.005	250	250	3276	3276	3276	3276	214.179254	219.094122	214.095793	214.195943	20.5740325	1718029476.171835	-10.7827838	-6780596.0	-6792407.0	-6798466.0	-6796161.0	-1.1606051	-8122740.0	-8113890.0	-8112760.0	-8108823.0	20	1501.0148501485014	0.05	10-06-24 16:24:42.859557
1.8	0.008	250	250	4915	4915	4915	4915	212.617785	212.447223	212.437257	212.432405	20.1948517	1718029515.7870145	-10.184045	-6404039.0	-6415133.0	-6420853.0	-6418717.0	-1.09621375	-7671963.0	-7663573.0	-7662500.0	-7658780.0	20	1501.0148501485014	0.075	10-06-24 16:25:22.475122
2.401	0.012	250	250	6553	6553	6553	6553	200.112944	199.951244	199.943652	199.939194	19.830951	1718029555.39974	-9.58394537	-6026616.0	-6036934.0	-6042330.0	-6040433.0	-1.03189655	-7221753.0	-7213816.0	-7212858.0	-7209309.0	20	1501.0148501485014	0.1	10-06-24 16:26:02.088734
3.0	0.015	250	250	8191	8191	8191	8191	187.606693	187.454093	187.448849	187.444504	19.7379049	1718029595.0139134	-8.98494541	-5649877.0	-5659463.0	-5664536.0	-5662806.0	-0.967565551	-6771467.0	-6763884.0	-6763068.0	-6759650.0	20	1501.0148501485014	0.125	10-06-24 16:26:41.705386
3.6	0.018	250	250	9830	9830	9830	9830	175.096238	174.953543	174.950906	174.947195	20.0731536	1718029634.6465251	-8.38611412	-5273220.0	-5282071.0	-5286859.0	-5285295.0	-0.903058326	-6319898.0	-6312796.0	-6312029.0	-6308823.0	20	1501.0148501485014	0.15	10-06-24 16:27:21.336542
4.2	0.021	250	250	11468	11468	11468	11468	162.593364	162.45858	162.45859	162.454648	20.5261199	1718029674.2907555	-7.78668441	-4896242.0	-4904339.0	-4908774.0	-4907439.0	-0.838539423	-5868350.0	-5861640.0	-5860967.0	-5857971.0	20	1501.0148501485014	0.175	10-06-24 16:28:00.978434
4.8	0.024	250	250	13107	13107	13107	13107	150.081273	149.95436	149.956934	149.953436	20.804205	1718029713.9007432	-7.18790742	-4519625.0	-4526967.0	-4531099.0	-4529957.0	-0.774100337	-5417264.0	-5410941.0	-5410361.0	-5407521.0	20	1501.0148501485014	0.2	10-06-24 16:28:40.588756
5.4	0.027	250	250	14745	14745	14745	14745	137.578303	137.460053	137.463346	137.459427	21.1172663	1718029753.51249	-6.58826903	-4142488.0	-4149081.0	-4152910.0	-4151925.0	-0.709546193	-4965373.0	-4959553.0	-4959027.0	-4956407.0	20	1501.0148501485014	0.225	10-06-24 16:29:20.200905
6.0	0.03	250	250	16383	16383	16383	16383	125.072507	124.963783	124.967261	124.963887	21.3869188	1718029793.1466005	-5.98936804	-3765809.0	-3771679.0	-3775169.0	-3774377.0	-0.645089376	-4514198.0	-4508791.0	-4508344.0	-4505918.0	20	1501.0148501485014	0.25	10-06-24 16:29:59.835309
6.6	0.033	250	250	18022	18022	18022	18022	112.56327	112.463964	112.469447	112.466418	21.5993636	1718029832.759959	-5.38980407	-3388730.0	-3393833.0	-3396998.0	-3396422.0	-0.580487078	-4061999.0	-4057033.0	-4056688.0	-4054412.0	20	1501.0148501485014	0.275	10-06-24 16:30:39.448603
7.199	0.036	250	250	19660	19660	19660	19660	100.059583	99.9699236	99.9773532	99.9739166	21.6926974	1718029872.3732784	-4.79104231	-3012117.0	-3016497.0	-3019354.0	-3018935.0	-0.516029551	-3610808.0	-3606230.0	-3605969.0	-3603877.0	20	1501.0148501485014	0.3	10-06-24 16:31:19.061106
