# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	205.904981	210.819698	205.717295	205.789154	39.8684662	1718273880.4993742	-11.9613128	-7437580.0	-7451253.0	-7458189.0	-7455293.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	5101.050490504905	0.0	13-06-24 12:18:07.179929
0.6	0.002	250	250	1638	1638	1638	1638	205.44854	210.446612	205.334438	205.435742	39.8506881	1718273920.1023257	-11.3814045	-7155624.0	-7168570.0	-7175402.0	-7172464.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	5101.050490504905	0.025	13-06-24 12:18:46.781586
1.2	0.005	250	250	3276	3276	3276	3276	205.266955	210.268737	205.156411	205.261468	39.8413666	1718273959.705128	-10.7823919	-6779047.0	-6791185.0	-6797682.0	-6794938.0	-1.16048611	-8120952.0	-8111377.0	-8110601.0	-8107267.0	20	5101.050490504905	0.05	13-06-24 12:19:26.394610
1.8	0.008	250	250	4915	4915	4915	4915	205.170362	210.190924	205.075291	205.207687	39.8551086	1718273999.3200555	-10.1838461	-6402714.0	-6414064.0	-6420191.0	-6417709.0	-1.09618977	-7670927.0	-7661854.0	-7661173.0	-7657951.0	20	5101.050490504905	0.075	13-06-24 12:20:06.009370
2.401	0.012	250	250	6553	6553	6553	6553	200.145427	199.969913	199.960604	199.961757	39.8534749	1718274038.9359436	-9.58371139	-6025384.0	-6035952.0	-6041697.0	-6039419.0	-1.03164784	-7219204.0	-7210581.0	-7209970.0	-7206914.0	20	5101.050490504905	0.1	13-06-24 12:20:45.625380
3.0	0.015	250	250	8191	8191	8191	8191	187.637071	187.471846	187.464982	187.465947	39.8534749	1718274078.5680003	-8.9846473	-5648680.0	-5658482.0	-5663901.0	-5661849.0	-0.967366636	-6769342.0	-6761151.0	-6760566.0	-6757654.0	20	5101.050490504905	0.125	13-06-24 12:21:25.256593
3.6	0.018	250	250	9830	9830	9830	9830	175.124958	174.970962	174.966384	174.967136	39.8382915	1718274118.1838255	-8.38586203	-5272166.0	-5281195.0	-5286263.0	-5284396.0	-0.903004806	-6318904.0	-6311174.0	-6310673.0	-6307889.0	20	5101.050490504905	0.15	13-06-24 12:22:04.873711
4.2	0.021	250	250	11468	11468	11468	11468	162.620388	162.475117	162.473197	162.473156	39.852514	1718274157.7969055	-7.78655354	-4895269.0	-4903549.0	-4908268.0	-4906639.0	-0.838429211	-5866972.0	-5859667.0	-5859206.0	-5856584.0	20	5101.050490504905	0.175	13-06-24 12:22:44.483065
4.8	0.024	250	250	13107	13107	13107	13107	150.105811	149.96982	149.970233	149.970289	39.8453066	1718274197.403152	-7.18769314	-4518681.0	-4526215.0	-4530597.0	-4529172.0	-0.773975043	-5415859.0	-5409029.0	-5408654.0	-5406209.0	20	5101.050490504905	0.2	13-06-24 12:23:24.091758
5.4	0.027	250	250	14745	14745	14745	14745	137.600668	137.474504	137.47483	137.47434	39.8288739	1718274237.0420506	-6.58802054	-4141641.0	-4148389.0	-4152418.0	-4151233.0	-0.709505673	-4964656.0	-4958264.0	-4957960.0	-4955674.0	20	5101.050490504905	0.225	13-06-24 12:24:03.729182
6.0	0.03	250	250	16383	16383	16383	16383	125.092545	124.976395	124.977747	124.977531	39.8551086	1718274276.65923	-5.9893003	-3765103.0	-3771095.0	-3774780.0	-3773801.0	-0.64499641	-4513198.0	-4507265.0	-4507020.0	-4504893.0	20	5101.050490504905	0.25	13-06-24 12:24:43.338244
6.6	0.033	250	250	18022	18022	18022	18022	112.581283	112.475882	112.478602	112.477382	39.8426159	1718274316.2615972	-5.38969425	-3388045.0	-3393275.0	-3396634.0	-3395864.0	-0.580479551	-4061633.0	-4056174.0	-4055990.0	-4053993.0	20	5101.050490504905	0.275	13-06-24 12:25:22.949730
7.199	0.036	250	250	19660	19660	19660	19660	100.075779	99.9809421	99.9853276	99.9838246	39.8676013	1718274355.8722785	-4.79098826	-3011558.0	-3016024.0	-3019034.0	-3018467.0	-0.516053933	-3610672.0	-3605651.0	-3605540.0	-3603739.0	20	5101.050490504905	0.3	13-06-24 12:26:02.560171
7.8	0.039	250	250	21298	21298	21298	21298	87.5701631	87.4852517	87.492668	87.4903478	39.8778838	1718274395.4794133	-4.19092262	-2634204.0	-2637916.0	-2640583.0	-2640235.0	-0.451399098	-3158146.0	-3153631.0	-3153574.0	-3151909.0	20	5101.050490504905	0.325	13-06-24 12:26:42.167485
8.4	0.042	250	250	22937	22937	22937	22937	75.0572424	74.9827541	74.9932136	74.9894542	39.8834575	1718274435.0931804	-3.59226764	-2257746.0	-2260690.0	-2263020.0	-2262876.0	-0.386899123	-2706740.0	-2702666.0	-2702682.0	-2701187.0	20	5101.050490504905	0.35	13-06-24 12:27:21.780691
8.999	0.045	250	250	24575	24575	24575	24575	62.5487376	62.4851203	62.4978888	62.4947392	39.8758657	1718274474.7302551	-2.99374335	-1881355.0	-1883546.0	-1885529.0	-1885609.0	-0.322462387	-2255698.0	-2252107.0	-2252193.0	-2250853.0	20	5101.050490504905	0.375	13-06-24 12:28:01.418111
9.599	0.048	250	250	26214	26214	26214	26214	50.0379341	49.9838095	49.9994414	49.9968828	39.8595291	1718274514.3414285	-2.39441657	-1504463.0	-1505901.0	-1507542.0	-1507833.0	-0.25793319	-1804031.0	-1800915.0	-1801069.0	-1799878.0	20	5101.050490504905	0.4	13-06-24 12:28:41.028959
10.199	0.051	250	250	27852	27852	27852	27852	37.5332292	37.4890045	37.5072528	37.5038779	39.8707726	1718274553.9535778	-1.79472288	-1127351.0	-1128031.0	-1129318.0	-1129820.0	-0.193334062	-1351933.0	-1349250.0	-1349474.0	-1348444.0	20	5101.050490504905	0.425	13-06-24 12:29:20.642574
10.8	0.054	250	250	29490	29490	29490	29490	25.0285478	24.9938922	25.0158327	25.0122458	39.838772	1718274593.5667825	-1.19501024	-750231.1	-750153.1	-751099.3	-751820.5	-0.128761807	-899967.7	-897768.8	-898069.9	-897185.7	20	5101.050490504905	0.45	13-06-24 12:30:00.256127
11.399	0.058	250	250	31129	31129	31129	31129	12.5167902	12.492519	12.515464	12.5124602	39.8215705	1718274633.2029057	-0.596044299	-373598.8	-372768.1	-373377.5	-374312.4	-0.0642499436	-448441.0	-446725.9	-447106.9	-446369.1	20	5101.050490504905	0.475	13-06-24 12:30:39.891969
11.999	0.061	250	250	32767	32767	32767	32767	0.0102681511	-0.003571798	0.0218676554	0.0178241166	39.8405017	1718274672.812951	0.00328039159	3262.052	4852.468	4586.484	3446.652	0.000286193944	3223.884	4488.1	4063.984	4646.652	20	5101.050490504905	0.5	13-06-24 12:31:19.501043
12.599	0.064	250	250	34405	34405	34405	34405	-12.4929383	-12.4955911	-12.4682574	-12.4730995	39.8551086	1718274712.448775	0.602148455	379866.8	382209.8	382289.2	380944.5	0.0647732532	454541.6	455330.4	454841.2	455262.0	20	5101.050490504905	0.525	13-06-24 12:31:59.135776
13.199	0.067	250	250	36044	36044	36044	36044	-25.005305	-24.997794	-24.9682088	-24.9731918	39.8612589	1718274752.0593243	1.20158441	756819.5	759915.4	760333.4	758787.7	0.129316934	906307.8	906628.4	906065.6	906323.1	20	5101.050490504905	0.55	13-06-24 12:32:38.747353
13.799	0.07	250	250	37682	37682	37682	37682	-37.5104707	-37.491793	-37.4601833	-37.465089	39.8642379	1718274791.6715224	1.80023826	1133286.0	1137152.0	1137916.0	1136155.0	0.193755168	1357372.0	1357195.0	1356573.0	1356705.0	20	5101.050490504905	0.575	13-06-24 12:33:18.352711
14.399	0.073	250	250	39321	39321	39321	39321	-50.0232384	-49.9942532	-49.9613998	-49.9659352	39.8615472	1718274831.2675529	2.39931766	1510002.0	1514645.0	1515757.0	1513780.0	0.258277677	1809000.0	1808373.0	1807680.0	1807633.0	20	5101.050490504905	0.6	13-06-24 12:33:57.957486
14.998	0.076	250	250	40959	40959	40959	40959	-62.5304067	-62.4916479	-62.4564441	-62.4607205	39.8766345	1718274870.8820474	2.99824936	1886640.0	1892029.0	1893484.0	1891297.0	0.322730421	2260135.0	2259026.0	2258261.0	2258071.0	20	5101.050490504905	0.625	13-06-24 12:34:37.572063
15.599	0.079	250	250	42597	42597	42597	42597	-75.0334893	-74.9850283	-74.9475693	-74.9508946	39.8686584	1718274910.49557	3.59835283	2263963.0	2270159.0	2271962.0	2269559.0	0.387326569	2712228.0	2710693.0	2709865.0	2709529.0	20	5101.050490504905	0.65	13-06-24 12:35:17.183759
16.199	0.082	250	250	44236	44236	44236	44236	-87.5475287	-87.4886165	-87.4492937	-87.4516273	39.8664482	1718274950.108811	4.19760313	2640889.0	2647791.0	2649958.0	2647319.0	0.451843119	3163814.0	3161800.0	3160905.0	3160418.0	20	5101.050490504905	0.675	13-06-24 12:35:56.796467
16.799	0.086	250	250	45874	45874	45874	45874	-100.052001	-99.9835203	-99.9414241	-99.9448378	39.8478052	1718274989.718949	4.79652784	3017553.0	3025214.0	3027706.0	3024879.0	0.516330586	3615156.0	3612694.0	3611749.0	3611106.0	20	5101.050490504905	0.7	13-06-24 12:36:36.406412
17.399	0.089	250	250	47512	47512	47512	47512	-112.557498	-112.478886	-112.436167	-112.439248	39.8540515	1718275029.3211768	5.39583381	3394454.0	3402876.0	3405703.0	3402641.0	0.580828041	4066657.0	4063718.0	4062697.0	4061864.0	20	5101.050490504905	0.725	13-06-24 12:37:16.007898
17.999	0.092	250	250	49151	49151	49151	49151	-125.072967	-124.984092	-124.939793	-124.9437	39.8473247	1718275068.9535975	5.99528725	3771330.0	3780574.0	3783750.0	3780470.0	0.645364966	4518388.0	4514981.0	4513886.0	4512931.0	20	5101.050490504905	0.75	13-06-24 12:37:55.640745
18.599	0.095	250	250	50789	50789	50789	50789	-137.577676	-137.477828	-137.431649	-137.434917	39.8357929	1718275108.5643802	6.59437763	4148141.0	4158081.0	4161606.0	4158107.0	0.709868441	4969899.0	4966004.0	4964837.0	4963734.0	20	5101.050490504905	0.775	13-06-24 12:38:35.250329
