# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.089	0.0	250	250	0	0	0	0	215.081138	219.9306	214.944336	215.005074	20.4898021	1718706713.2473001	-11.9540341	-7453537.0	-7466696.0	-7473150.0	-7470931.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	6.0	1401.0138601386013	0.0	18-06-24 12:31:59.926954
0.6	0.003	250	250	1638	1638	1638	1638	214.877482	219.762425	214.751531	214.826341	20.4731285	1718706738.8499303	-11.3802437	-7155376.0	-7167977.0	-7174352.0	-7172054.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	6.0	1401.0138601386013	0.025	18-06-24 12:32:25.527486
1.2	0.006	250	250	3276	3276	3276	3276	214.514382	219.420366	214.405937	214.504438	20.4210953	1718706764.4518538	-10.7816524	-6779008.0	-6790810.0	-6796797.0	-6794703.0	-1.16104304	-8124697.0	-8115853.0	-8114871.0	-8111027.0	6.0	1401.0138601386013	0.05	18-06-24 12:32:51.140549
1.8	0.009	250	250	4915	4915	4915	4915	212.646549	212.476184	212.467761	212.460303	20.4530052	1718706790.062714	-10.1832828	-6402673.0	-6413755.0	-6419396.0	-6417525.0	-1.09667623	-7674198.0	-7665785.0	-7664888.0	-7661187.0	6.0	1401.0138601386013	0.075	18-06-24 12:33:16.752509
2.4	0.012	250	250	6553	6553	6553	6553	200.141673	199.978818	199.972991	199.965204	20.4462016	1718706815.6773214	-9.58320716	-6025333.0	-6035668.0	-6041054.0	-6039291.0	-1.03211014	-7222347.0	-7214366.0	-7213524.0	-7210021.0	6.0	1401.0138601386013	0.1	18-06-24 12:33:42.366392
3.0	0.015	250	250	8191	8191	8191	8191	187.633744	187.480312	187.476357	187.469069	20.4080631	1718706841.290273	-8.98417917	-5648678.0	-5658253.0	-5663301.0	-5661733.0	-0.967639339	-6771098.0	-6763541.0	-6762759.0	-6759462.0	6.0	1401.0138601386013	0.125	18-06-24 12:34:07.981110
3.6	0.018	250	250	9830	9830	9830	9830	175.121904	174.977979	174.976847	174.969266	20.4215744	1718706866.910986	-8.38552429	-5272191.0	-5281012.0	-5285719.0	-5284376.0	-0.903234355	-6320421.0	-6313260.0	-6312557.0	-6309456.0	6.0	1401.0138601386013	0.15	18-06-24 12:34:33.599910
4.2	0.021	250	250	11468	11468	11468	11468	162.616856	162.481021	162.482337	162.475981	20.3220119	1718706892.5253696	-7.78621734	-4895315.0	-4903402.0	-4907804.0	-4906606.0	-0.838717794	-5868873.0	-5862139.0	-5861532.0	-5858603.0	6.0	1401.0138601386013	0.175	18-06-24 12:34:59.215770
4.8	0.024	250	250	13107	13107	13107	13107	150.102793	149.975556	149.979199	149.973344	20.3628335	1718706918.143703	-7.1874597	-4518781.0	-4526125.0	-4530210.0	-4529200.0	-0.77427835	-5417896.0	-5411554.0	-5411027.0	-5408274.0	6.0	1401.0138601386013	0.2	18-06-24 12:35:24.834219
5.4	0.027	250	250	14745	14745	14745	14745	137.597937	137.479445	137.483151	137.477131	20.3677206	1718706943.7793367	-6.58788462	-4141725.0	-4148308.0	-4152069.0	-4151241.0	-0.709739128	-4966139.0	-4960293.0	-4959778.0	-4957216.0	6.0	1401.0138601386013	0.225	18-06-24 12:35:50.469649
5.999	0.03	250	250	16383	16383	16383	16383	125.090286	124.98081	124.985495	124.979914	20.4226285	1718706969.391404	-5.98912683	-3765176.0	-3771025.0	-3774496.0	-3773813.0	-0.645241515	-4514760.0	-4509316.0	-4508897.0	-4506514.0	6.0	1401.0138601386013	0.25	18-06-24 12:36:16.079656
6.6	0.033	250	250	18022	18022	18022	18022	112.578964	112.479336	112.48538	112.480238	20.4602879	1718706995.0049827	-5.38956038	-3388149.0	-3393244.0	-3396379.0	-3395901.0	-0.580665633	-4062788.0	-4057770.0	-4057461.0	-4055266.0	6.0	1401.0138601386013	0.275	18-06-24 12:36:41.690250
7.199	0.036	250	250	19660	19660	19660	19660	100.073653	99.9832574	99.9915668	99.986252	20.4348942	1718707020.618638	-4.79089323	-3011653.0	-3016013.0	-3018804.0	-3018520.0	-0.51618679	-3611503.0	-3606911.0	-3606676.0	-3604661.0	6.0	1401.0138601386013	0.3	18-06-24 12:37:07.298521
7.8	0.039	250	250	21298	21298	21298	21298	87.5684034	87.4872306	87.4986307	87.4930448	20.4352775	1718707046.2254107	-4.19088405	-2634315.0	-2637936.0	-2640429.0	-2640300.0	-0.451560192	-3159167.0	-3155029.0	-3154859.0	-3153023.0	6.0	1401.0138601386013	0.325	18-06-24 12:37:32.912836
